name,title,default_crs,bbox_raw
datafinder.stats.govt.nz:layer-103900,2018 Census usually resident population and age groups by Regional Council,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-103902,2018 Census usually resident population and age groups by Statistical Area 2,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-103903,2018 Census usually resident population and age groups by Territorial Authority and Auckland Local Board Areas,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-103904,2018 Census occupied and unoccupied private dwellings by Regional Council,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-103905,2018 Census occupied and unoccupied private dwellings by Statistical Area 2,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-103906,2018 Census occupied and unoccupied private dwellings by Territorial Authority and Auckland Local Board Areas,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-103910,Territorial Authority Local Board 2018 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104062,General Electoral District 2014,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566901 -47.62012357912569</ns0:LowerCorner><ns0:UpperCorner>184.6209529456846 -33.958497100234446</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104063,Māori Electoral District 2014,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566901 -47.62012357912569</ns0:LowerCorner><ns0:UpperCorner>184.6209529456846 -33.958497100234446</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104064,Māori Electoral District 2002,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.973643323373 -47.62012247500381</ns0:LowerCorner><ns0:UpperCorner>184.6209529103961 -33.95849787612825</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104065,General Electoral District 2007,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.1386538556921 -47.7240465252392</ns0:LowerCorner><ns0:UpperCorner>178.83620889899817 -33.95849710638058</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104066,Māori Electoral District 2007,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.1386538556921 -47.7240465252392</ns0:LowerCorner><ns0:UpperCorner>178.83620889899817 -33.95849710638058</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104202,Proposed General Electorates 2020,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104208,Proposed Māori Electorates 2020,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>170.9207842032232 -47.50893390049006</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104209,2018 Census electoral population for proposed boundaries (Meshblock 2020),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.9736437566849 -47.6201235791258</ns0:LowerCorner><ns0:UpperCorner>184.62095294554092 -33.95849709933265</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104246,Constituency 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104247,Constituency 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
